"","fullVisitorId","visitNumber","totals.bounces","totals.hits","totals.newVisits","totals.pageviews"
"1",0,0,0,0,0,0
"2",1.72e+13,2,0,2,0,2
"3",1.9e+13,1,0,2,1,2
"4",5.95e+13,1,1,1,1,1
"5",8.44e+13,1,0,4,1,4
"6",8.86e+13,3,0,24,1,23
"7",8.88e+13,1,0,2,1,2
"8",1.18e+14,1,1,1,1,1
"9",1.53e+14,1,1,1,1,1
"10",1.74e+14,1,1,1,1,1
"11",1.84e+14,1,1,1,1,1
"12",2.82e+14,7,0,58,0,38
"13",2.99e+14,1,0,2,1,2
"14",3.1e+14,3,0,2,0,2
"15",4.86e+14,9,2,2,0,2
"16",5.01e+14,1,1,1,1,1
"17",5.51e+14,1,0,28,1,16
"18",5.58e+14,1,1,1,1,1
"19",5.93e+14,3,0,11,1,11
"20",6.35e+14,1,1,1,1,1
"21",7.37e+14,1,1,1,1,1
"22",7.61e+14,3,1,13,1,11
"23",7.68e+14,1,0,15,1,9
"24",9.33e+14,4,0,3,0,3
"25",9.37e+14,1,1,1,1,1
"26",9.55e+14,1,1,1,1,1
"27",9.82e+14,2,0,3,0,3
"28",9.94e+14,1,0,2,1,2
"29",1.06e+15,1,1,1,1,1
"30",1.19e+15,2,1,1,0,1
"31",1.2e+15,1,0,2,1,2
"32",1.23e+15,1,1,1,1,1
"33",1.26e+15,1,1,1,1,1
"34",1.5e+15,2,1,4,2,4
"35",1.61e+15,2,0,2,0,2
"36",1.75e+15,5,1,1,0,1
"37",1.79e+15,1,1,1,1,1
"38",1.99e+15,1,1,1,1,1
"39",2.06e+15,1,0,5,1,5
"40",2.08e+15,2,1,3,2,3
"41",2.11e+15,1,1,1,1,1
"42",2.12e+15,6,0,16,1,16
"43",2.25e+15,1,0,5,1,3
"44",2.26e+15,1,1,1,1,1
"45",2.4e+15,3,2,2,1,2
"46",2.53e+15,1,1,1,1,1
"47",2.61e+15,2,0,5,0,5
"48",2.88e+15,2,2,2,2,2
"49",2.94e+15,1,1,1,1,1
"50",2.95e+15,1,1,1,1,1
"51",3.02e+15,1,0,2,1,2
"52",3.14e+15,2,1,1,0,1
"53",3.16e+15,1,1,1,1,1
"54",3.19e+15,2,1,2,0,1
"55",3.57e+15,1,0,2,1,2
"56",3.61e+15,1,0,2,1,2
"57",3.63e+15,1,0,5,1,3
"58",3.65e+15,2,2,2,2,2
"59",3.75e+15,1,0,8,1,7
"60",3.77e+15,1,0,3,1,3
"61",3.95e+15,1,1,1,1,1
"62",4.07e+15,1,1,1,1,1
"63",4.08e+15,1,0,2,1,2
"64",4.12e+15,2,0,8,2,4
"65",4.14e+15,1,1,1,1,1
"66",4.26e+15,11,0,11,0,8
"67",4.37e+15,1,0,22,1,16
"68",4.44e+15,1,1,1,1,1
"69",4.46e+15,1,1,1,1,1
"70",4.49e+15,4,1,1,0,1
"71",4.68e+15,1,1,1,1,1
"72",4.71e+15,1,1,1,1,1
"73",4.72e+15,2,0,15,2,15
"74",4.79e+15,1,1,1,1,1
"75",4.84e+15,1,0,7,1,7
"76",4.85e+15,1,1,1,1,1
"77",5e+15,2,1,6,2,6
"78",5.01e+15,1,1,1,1,1
"79",5.04e+15,1,0,5,1,5
"80",5.13e+15,4,2,2,1,2
"81",5.2e+15,1,0,6,1,6
"82",5.32e+15,1,1,1,1,1
"83",5.36e+15,1,0,4,1,4
"84",5.43e+15,1,0,18,1,16
"85",5.57e+15,3,0,4,0,4
"86",5.61e+15,1,0,6,1,4
"87",5.62e+15,1,1,1,1,1
"88",5.67e+15,2,2,2,2,2
"89",5.76e+15,1,1,1,1,1
"90",5.82e+15,4,1,1,0,1
"91",5.9e+15,15,1,18,0,13
"92",5.97e+15,1,1,1,1,1
"93",6.1e+15,1,0,3,1,3
"94",6.13e+15,2,0,15,2,14
"95",6.19e+15,1,0,3,1,3
"96",6.24e+15,1,0,14,1,12
"97",6.71e+15,2,2,2,2,2
"98",6.76e+15,1,0,3,1,3
"99",6.77e+15,1,0,29,1,18
"100",6.83e+15,2,1,1,0,1
"101",6.9e+15,1,0,9,1,9
"102",6.93e+15,1,1,1,1,1
"103",6.99e+15,2,0,15,0,11
"104",7.04e+15,1,0,2,1,2
"105",7.06e+15,1,0,5,1,5
"106",7.07e+15,9,3,8,1,8
"107",7.26e+15,1,0,3,1,3
"108",7.31e+15,1,1,1,1,1
"109",7.37e+15,4,1,26,1,22
"110",7.39e+15,2,0,2,0,2
"111",7.41e+15,1,1,1,1,1
"112",7.49e+15,1,1,1,1,1
"113",7.69e+15,2,0,7,2,7
"114",7.94e+15,1,1,1,1,1
"115",8.05e+15,1,1,1,1,1
"116",8.22e+15,1,0,4,1,4
"117",8.24e+15,1,0,4,1,4
"118",8.34e+15,2,1,1,0,1
"119",8.4e+15,1,1,1,1,1
"120",8.44e+15,1,1,1,1,1
